frame,hour,lane,vehicle_count,congestion,signal_duration
6570,3,East,0,Low,15
6570,3,West,1,Low,19
6585,3,North,1,Low,19
6585,3,South,2,Low,23
6585,3,East,0,Low,15
6585,3,West,1,Low,19
6600,3,North,1,Low,19
6600,3,South,2,Low,23
6600,3,East,0,Low,15
6600,3,West,2,Low,23
6615,3,North,2,Low,23
6615,3,South,2,Low,23
6615,3,East,0,Low,15
6615,3,West,0,Low,15
6630,3,North,3,Low,27
6630,3,South,1,Low,19
6630,3,East,0,Low,15
6630,3,West,1,Low,19
6645,3,North,3,Low,27
6645,3,South,1,Low,19
6645,3,East,0,Low,15
6645,3,West,0,Low,15
6660,3,North,2,Low,23
6660,3,South,2,Low,23
6660,3,East,0,Low,15
6660,3,West,0,Low,15
6675,3,North,3,Low,27
6675,3,South,1,Low,19
6675,3,East,0,Low,15
6675,3,West,1,Low,19
6690,3,North,5,Medium,35
6690,3,South,0,Low,15
6690,3,East,0,Low,15
6690,3,West,1,Low,19
6705,3,North,5,Medium,35
6705,3,South,0,Low,15
6705,3,East,0,Low,15
6705,3,West,2,Low,23
6720,3,North,7,Medium,43
6720,3,South,1,Low,19
6720,3,East,0,Low,15
6720,3,West,0,Low,15
6735,3,North,7,Medium,43
6735,3,South,1,Low,19
6735,3,East,0,Low,15
6735,3,West,0,Low,15
6750,3,North,7,Medium,43
6750,3,South,1,Low,19
6750,3,East,0,Low,15
6750,3,West,0,Low,15
6765,3,North,6,Medium,39
6765,3,South,3,Low,27
6765,3,East,0,Low,15
6765,3,West,0,Low,15
6780,3,North,6,Medium,39
6780,3,South,1,Low,19
6780,3,East,0,Low,15
6780,3,West,0,Low,15
6795,3,North,5,Medium,35
6795,3,South,1,Low,19
6795,3,East,0,Low,15
6795,3,West,0,Low,15
6810,3,North,4,Medium,31
6810,3,South,3,Low,27
6810,3,East,0,Low,15
6810,3,West,0,Low,15
6825,3,North,4,Medium,31
6825,3,South,2,Low,23
6825,3,East,0,Low,15
6825,3,West,1,Low,19
6840,3,North,4,Medium,31
6840,3,South,1,Low,19
6840,3,East,0,Low,15
6840,3,West,1,Low,19
6855,3,North,4,Medium,31
6855,3,South,1,Low,19
6855,3,East,0,Low,15
6855,3,West,2,Low,23
6870,3,North,4,Medium,31
6870,3,South,2,Low,23
6870,3,East,0,Low,15
6870,3,West,0,Low,15
6885,3,North,4,Medium,31
6885,3,South,2,Low,23
6885,3,East,0,Low,15
6885,3,West,0,Low,15
6900,3,North,2,Low,23
6900,3,South,0,Low,15
6900,3,East,0,Low,15
6900,3,West,1,Low,19
6915,3,North,4,Medium,31
6915,3,South,1,Low,19
6915,3,East,0,Low,15
6915,3,West,1,Low,19
6930,3,North,4,Medium,31
6930,3,South,0,Low,15
6930,3,East,0,Low,15
6930,3,West,0,Low,15
6945,3,North,2,Low,23
6945,3,South,3,Low,27
6945,3,East,0,Low,15
6945,3,West,0,Low,15
6960,3,North,2,Low,23
6960,3,South,4,Medium,31
6960,3,East,0,Low,15
6960,3,West,0,Low,15
6975,3,North,2,Low,23
6975,3,South,2,Low,23
6975,3,East,0,Low,15
6975,3,West,0,Low,15
6990,3,North,3,Low,27
6990,3,South,1,Low,19
6990,3,East,0,Low,15
6990,3,West,1,Low,19
7005,3,North,2,Low,23
7005,3,South,2,Low,23
7005,3,East,0,Low,15
7005,3,West,0,Low,15
7020,3,North,2,Low,23
7020,3,South,2,Low,23
7020,3,East,0,Low,15
7020,3,West,0,Low,15
7035,3,North,2,Low,23
7035,3,South,1,Low,19
7035,3,East,0,Low,15
7035,3,West,0,Low,15
7050,3,North,3,Low,27
7050,3,South,3,Low,27
7050,3,East,0,Low,15
7050,3,West,0,Low,15
7065,3,North,3,Low,27
7065,3,South,1,Low,19
7065,3,East,0,Low,15
7065,3,West,0,Low,15
7080,3,North,2,Low,23
7080,3,South,1,Low,19
7080,3,East,0,Low,15
7080,3,West,0,Low,15
7095,3,North,2,Low,23
7095,3,South,0,Low,15
7095,3,East,0,Low,15
7095,3,West,1,Low,19
7110,3,North,3,Low,27
7110,3,South,0,Low,15
7110,3,East,0,Low,15
7110,3,West,0,Low,15
7125,3,North,2,Low,23
7125,3,South,1,Low,19
7125,3,East,0,Low,15
7125,3,West,0,Low,15
7140,3,North,3,Low,27
7140,3,South,1,Low,19
7140,3,East,0,Low,15
7140,3,West,0,Low,15
7155,3,North,3,Low,27
7155,3,South,0,Low,15
7155,3,East,0,Low,15
7155,3,West,0,Low,15
7170,3,North,3,Low,27
7170,3,South,0,Low,15
7170,3,East,0,Low,15
7170,3,West,0,Low,15
7185,3,North,1,Low,19
7185,3,South,2,Low,23
7185,3,East,0,Low,15
7185,3,West,0,Low,15
7200,4,North,3,Low,27
7200,4,South,4,Medium,31
7200,4,East,0,Low,15
7200,4,West,0,Low,15
7215,4,North,2,Low,23
7215,4,South,2,Low,23
7215,4,East,0,Low,15
7215,4,West,0,Low,15
7230,4,North,3,Low,27
7230,4,South,1,Low,19
7230,4,East,0,Low,15
7230,4,West,0,Low,15
7245,4,North,3,Low,27
7245,4,South,1,Low,19
7245,4,East,0,Low,15
7245,4,West,0,Low,15
7260,4,North,3,Low,27
7260,4,South,2,Low,23
7260,4,East,0,Low,15
7260,4,West,0,Low,15
7275,4,North,2,Low,23
7275,4,South,3,Low,27
7275,4,East,0,Low,15
7275,4,West,0,Low,15
7290,4,North,2,Low,23
7290,4,South,2,Low,23
7290,4,East,0,Low,15
7290,4,West,0,Low,15
7305,4,North,2,Low,23
7305,4,South,1,Low,19
7305,4,East,0,Low,15
7305,4,West,0,Low,15
7320,4,North,3,Low,27
7320,4,South,1,Low,19
7320,4,East,0,Low,15
7320,4,West,0,Low,15
7335,4,North,1,Low,19
7335,4,South,2,Low,23
7335,4,East,0,Low,15
7335,4,West,0,Low,15
7350,4,North,2,Low,23
7350,4,South,2,Low,23
7350,4,East,0,Low,15
7350,4,West,1,Low,19
7365,4,North,4,Medium,31
7365,4,South,1,Low,19
7365,4,East,0,Low,15
7365,4,West,1,Low,19
7380,4,North,3,Low,27
7380,4,South,3,Low,27
7380,4,East,0,Low,15
7380,4,West,1,Low,19
7395,4,North,3,Low,27
7395,4,South,1,Low,19
7395,4,East,0,Low,15
7395,4,West,0,Low,15
7410,4,North,3,Low,27
7410,4,South,2,Low,23
7410,4,East,0,Low,15
7410,4,West,0,Low,15
7425,4,North,4,Medium,31
7425,4,South,3,Low,27
7425,4,East,0,Low,15
7425,4,West,1,Low,19
7440,4,North,3,Low,27
7440,4,South,3,Low,27
7440,4,East,0,Low,15
7440,4,West,1,Low,19
7455,4,North,1,Low,19
7455,4,South,2,Low,23
7455,4,East,0,Low,15
7455,4,West,1,Low,19
7470,4,North,1,Low,19
7470,4,South,0,Low,15
7470,4,East,0,Low,15
7470,4,West,0,Low,15
7485,4,North,2,Low,23
7485,4,South,0,Low,15
7485,4,East,0,Low,15
7485,4,West,0,Low,15
7500,4,North,2,Low,23
7500,4,South,0,Low,15
7500,4,East,0,Low,15
7500,4,West,0,Low,15
7515,4,North,1,Low,19
7515,4,South,2,Low,23
7515,4,East,0,Low,15
7515,4,West,0,Low,15
7530,4,North,5,Medium,35
7530,4,South,1,Low,19
7530,4,East,0,Low,15
7530,4,West,0,Low,15
7545,4,North,4,Medium,31
7545,4,South,2,Low,23
7545,4,East,0,Low,15
7545,4,West,0,Low,15
7560,4,North,7,Medium,43
7560,4,South,2,Low,23
7560,4,East,0,Low,15
7560,4,West,0,Low,15
7575,4,North,4,Medium,31
7575,4,South,2,Low,23
7575,4,East,0,Low,15
7575,4,West,0,Low,15
7590,4,North,5,Medium,35
7590,4,South,2,Low,23
7590,4,East,0,Low,15
7590,4,West,0,Low,15
7605,4,North,2,Low,23
7605,4,South,3,Low,27
7605,4,East,0,Low,15
7605,4,West,0,Low,15
7620,4,North,2,Low,23
7620,4,South,2,Low,23
7620,4,East,0,Low,15
7620,4,West,1,Low,19
7635,4,North,3,Low,27
7635,4,South,0,Low,15
7635,4,East,0,Low,15
7635,4,West,2,Low,23
7650,4,North,4,Medium,31
7650,4,South,2,Low,23
7650,4,East,0,Low,15
7650,4,West,2,Low,23
7665,4,North,3,Low,27
7665,4,South,2,Low,23
7665,4,East,0,Low,15
7665,4,West,1,Low,19
7680,4,North,1,Low,19
7680,4,South,0,Low,15
7680,4,East,1,Low,19
7680,4,West,1,Low,19
7695,4,North,3,Low,27
7695,4,South,0,Low,15
7695,4,East,0,Low,15
7695,4,West,0,Low,15
7710,4,North,2,Low,23
7710,4,South,0,Low,15
7710,4,East,0,Low,15
7710,4,West,0,Low,15
7725,4,North,1,Low,19
7725,4,South,1,Low,19
7725,4,East,0,Low,15
7725,4,West,1,Low,19
7740,4,North,3,Low,27
7740,4,South,0,Low,15
7740,4,East,0,Low,15
7740,4,West,1,Low,19
7755,4,North,2,Low,23
7755,4,South,1,Low,19
7755,4,East,0,Low,15
7755,4,West,0,Low,15
7770,4,North,1,Low,19
7770,4,South,2,Low,23
7770,4,East,0,Low,15
7770,4,West,1,Low,19
7785,4,North,1,Low,19
7785,4,South,2,Low,23
7785,4,East,0,Low,15
7785,4,West,0,Low,15
7800,4,North,1,Low,19
7800,4,South,0,Low,15
7800,4,East,0,Low,15
7800,4,West,0,Low,15
7815,4,North,3,Low,27
7815,4,South,0,Low,15
7815,4,East,0,Low,15
7815,4,West,0,Low,15
7830,4,North,5,Medium,35
7830,4,South,1,Low,19
7830,4,East,0,Low,15
7830,4,West,0,Low,15
7845,4,North,1,Low,19
7845,4,South,1,Low,19
7845,4,East,0,Low,15
7845,4,West,0,Low,15
7860,4,North,4,Medium,31
7860,4,South,0,Low,15
7860,4,East,0,Low,15
7860,4,West,0,Low,15
7875,4,North,1,Low,19
7875,4,South,1,Low,19
7875,4,East,0,Low,15
7875,4,West,0,Low,15
7890,4,North,3,Low,27
7890,4,South,2,Low,23
7890,4,East,0,Low,15
7890,4,West,0,Low,15
7905,4,North,6,Medium,39
7905,4,South,2,Low,23
7905,4,East,0,Low,15
7905,4,West,1,Low,19
7920,4,North,3,Low,27
7920,4,South,2,Low,23
7920,4,East,0,Low,15
7920,4,West,1,Low,19
7935,4,North,2,Low,23
7935,4,South,3,Low,27
7935,4,East,0,Low,15
7935,4,West,1,Low,19
7950,4,North,3,Low,27
7950,4,South,3,Low,27
7950,4,East,0,Low,15
7950,4,West,0,Low,15
7965,4,North,5,Medium,35
7965,4,South,2,Low,23
7965,4,East,0,Low,15
7965,4,West,0,Low,15
7980,4,North,3,Low,27
7980,4,South,1,Low,19
7980,4,East,0,Low,15
7980,4,West,0,Low,15
7995,4,North,4,Medium,31
7995,4,South,2,Low,23
7995,4,East,0,Low,15
7995,4,West,0,Low,15
8010,4,North,3,Low,27
8010,4,South,1,Low,19
8010,4,East,0,Low,15
8010,4,West,1,Low,19
8025,4,North,4,Medium,31
8025,4,South,1,Low,19
8025,4,East,0,Low,15
8025,4,West,1,Low,19
8040,4,North,4,Medium,31
8040,4,South,0,Low,15
8040,4,East,0,Low,15
8040,4,West,0,Low,15
8055,4,North,2,Low,23
8055,4,South,2,Low,23
8055,4,East,0,Low,15
8055,4,West,0,Low,15
8070,4,North,2,Low,23
8070,4,South,2,Low,23
8070,4,East,0,Low,15
8070,4,West,1,Low,19
8085,4,North,3,Low,27
8085,4,South,1,Low,19
8085,4,East,0,Low,15
8085,4,West,0,Low,15
8100,4,North,3,Low,27
8100,4,South,0,Low,15
8100,4,East,0,Low,15
8100,4,West,0,Low,15
8115,4,North,3,Low,27
8115,4,South,0,Low,15
8115,4,East,0,Low,15
8115,4,West,0,Low,15
8130,4,North,4,Medium,31
8130,4,South,0,Low,15
8130,4,East,0,Low,15
8130,4,West,0,Low,15
8145,4,North,3,Low,27
8145,4,South,1,Low,19
8145,4,East,0,Low,15
8145,4,West,0,Low,15
8160,4,North,2,Low,23
8160,4,South,1,Low,19
8160,4,East,0,Low,15
8160,4,West,0,Low,15
8175,4,North,4,Medium,31
8175,4,South,1,Low,19
8175,4,East,0,Low,15
8175,4,West,0,Low,15
8190,4,North,3,Low,27
8190,4,South,2,Low,23
8190,4,East,0,Low,15
8190,4,West,0,Low,15
8205,4,North,3,Low,27
8205,4,South,2,Low,23
8205,4,East,0,Low,15
8205,4,West,0,Low,15
8220,4,North,5,Medium,35
8220,4,South,1,Low,19
8220,4,East,0,Low,15
8220,4,West,0,Low,15
8235,4,North,2,Low,23
8235,4,South,2,Low,23
8235,4,East,0,Low,15
8235,4,West,0,Low,15
8250,4,North,3,Low,27
8250,4,South,1,Low,19
8250,4,East,0,Low,15
8250,4,West,1,Low,19
8265,4,North,3,Low,27
8265,4,South,0,Low,15
8265,4,East,0,Low,15
8265,4,West,1,Low,19
8280,4,North,3,Low,27
8280,4,South,2,Low,23
8280,4,East,0,Low,15
8280,4,West,0,Low,15
8295,4,North,3,Low,27
8295,4,South,0,Low,15
8295,4,East,0,Low,15
8295,4,West,0,Low,15
8310,4,North,3,Low,27
8310,4,South,0,Low,15
8310,4,East,0,Low,15
8310,4,West,0,Low,15
8325,4,North,6,Medium,39
8325,4,South,1,Low,19
8325,4,East,0,Low,15
8325,4,West,0,Low,15
8340,4,North,2,Low,23
8340,4,South,1,Low,19
8340,4,East,0,Low,15
8340,4,West,0,Low,15
8355,4,North,2,Low,23
8355,4,South,0,Low,15
8355,4,East,0,Low,15
8355,4,West,0,Low,15
8370,4,North,5,Medium,35
8370,4,South,2,Low,23
8370,4,East,0,Low,15
8370,4,West,0,Low,15
8385,4,North,6,Medium,39
8385,4,South,2,Low,23
8385,4,East,0,Low,15
8385,4,West,0,Low,15
8400,4,North,6,Medium,39
8400,4,South,1,Low,19
8400,4,East,0,Low,15
8400,4,West,1,Low,19
8415,4,North,4,Medium,31
8415,4,South,1,Low,19
8415,4,East,0,Low,15
8415,4,West,1,Low,19
8430,4,North,7,Medium,43
8430,4,South,1,Low,19
8430,4,East,0,Low,15
8430,4,West,0,Low,15
8445,4,North,6,Medium,39
8445,4,South,1,Low,19
8445,4,East,0,Low,15
8445,4,West,0,Low,15
8460,4,North,4,Medium,31
8460,4,South,3,Low,27
8460,4,East,0,Low,15
8460,4,West,0,Low,15
8475,4,North,5,Medium,35
8475,4,South,3,Low,27
8475,4,East,0,Low,15
8475,4,West,0,Low,15
8490,4,North,4,Medium,31
8490,4,South,2,Low,23
8490,4,East,0,Low,15
8490,4,West,0,Low,15
8505,4,North,3,Low,27
8505,4,South,3,Low,27
8505,4,East,0,Low,15
8505,4,West,0,Low,15
8520,4,North,3,Low,27
8520,4,South,1,Low,19
8520,4,East,0,Low,15
8520,4,West,0,Low,15
8535,4,North,4,Medium,31
8535,4,South,1,Low,19
8535,4,East,0,Low,15
8535,4,West,0,Low,15
8550,4,North,4,Medium,31
8550,4,South,2,Low,23
8550,4,East,0,Low,15
8550,4,West,0,Low,15
8565,4,North,3,Low,27
8565,4,South,2,Low,23
8565,4,East,0,Low,15
8565,4,West,0,Low,15
8580,4,North,5,Medium,35
8580,4,South,1,Low,19
8580,4,East,0,Low,15
8580,4,West,0,Low,15
8595,4,North,5,Medium,35
8595,4,South,1,Low,19
8595,4,East,0,Low,15
8595,4,West,0,Low,15
8610,4,North,4,Medium,31
8610,4,South,1,Low,19
8610,4,East,1,Low,19
8610,4,West,0,Low,15
8625,4,North,3,Low,27
8625,4,South,1,Low,19
8625,4,East,0,Low,15
8625,4,West,1,Low,19
8640,4,North,4,Medium,31
8640,4,South,0,Low,15
8640,4,East,0,Low,15
8640,4,West,0,Low,15
8655,4,North,2,Low,23
8655,4,South,2,Low,23
8655,4,East,0,Low,15
8655,4,West,0,Low,15
8670,4,North,1,Low,19
8670,4,South,4,Medium,31
8670,4,East,0,Low,15
8670,4,West,0,Low,15
8685,4,North,2,Low,23
8685,4,South,2,Low,23
8685,4,East,0,Low,15
8685,4,West,0,Low,15
8700,4,North,2,Low,23
8700,4,South,2,Low,23
8700,4,East,0,Low,15
8700,4,West,0,Low,15
8715,4,North,3,Low,27
8715,4,South,1,Low,19
8715,4,East,0,Low,15
8715,4,West,0,Low,15
8730,4,North,1,Low,19
8730,4,South,2,Low,23
8730,4,East,0,Low,15
8730,4,West,0,Low,15
8745,4,North,5,Medium,35
8745,4,South,2,Low,23
8745,4,East,0,Low,15
8745,4,West,0,Low,15
8760,4,North,5,Medium,35
8760,4,South,1,Low,19
8760,4,East,0,Low,15
8760,4,West,0,Low,15
8775,4,North,2,Low,23
8775,4,South,1,Low,19
8775,4,East,0,Low,15
8775,4,West,1,Low,19
8790,4,North,4,Medium,31
8790,4,South,1,Low,19
8790,4,East,0,Low,15
8790,4,West,1,Low,19
8805,4,North,3,Low,27
8805,4,South,2,Low,23
8805,4,East,0,Low,15
8805,4,West,1,Low,19
8820,4,North,2,Low,23
8820,4,South,2,Low,23
8820,4,East,0,Low,15
8820,4,West,0,Low,15
8835,4,North,1,Low,19
8835,4,South,3,Low,27
8835,4,East,0,Low,15
8835,4,West,0,Low,15
8850,4,North,1,Low,19
8850,4,South,1,Low,19
8850,4,East,0,Low,15
8850,4,West,0,Low,15
8865,4,North,2,Low,23
8865,4,South,2,Low,23
8865,4,East,0,Low,15
8865,4,West,0,Low,15
8880,4,North,1,Low,19
8880,4,South,3,Low,27
8880,4,East,0,Low,15
8880,4,West,0,Low,15
8895,4,North,2,Low,23
8895,4,South,1,Low,19
8895,4,East,0,Low,15
8895,4,West,0,Low,15
8910,4,North,1,Low,19
8910,4,South,2,Low,23
8910,4,East,0,Low,15
8910,4,West,0,Low,15
8925,4,North,3,Low,27
8925,4,South,2,Low,23
8925,4,East,0,Low,15
8925,4,West,0,Low,15
8940,4,North,3,Low,27
8940,4,South,0,Low,15
8940,4,East,0,Low,15
8940,4,West,0,Low,15
8955,4,North,2,Low,23
8955,4,South,1,Low,19
8955,4,East,0,Low,15
8955,4,West,0,Low,15
8970,4,North,2,Low,23
8970,4,South,1,Low,19
8970,4,East,0,Low,15
8970,4,West,0,Low,15
8985,4,North,3,Low,27
8985,4,South,0,Low,15
8985,4,East,0,Low,15
8985,4,West,0,Low,15
9000,5,North,3,Low,27
9000,5,South,1,Low,19
9000,5,East,0,Low,15
9000,5,West,0,Low,15
9015,5,North,2,Low,23
9015,5,South,2,Low,23
9015,5,East,0,Low,15
9015,5,West,0,Low,15
9030,5,North,3,Low,27
9030,5,South,2,Low,23
9030,5,East,0,Low,15
9030,5,West,0,Low,15
9045,5,North,1,Low,19
9045,5,South,3,Low,27
9045,5,East,0,Low,15
9045,5,West,0,Low,15
9060,5,North,3,Low,27
9060,5,South,3,Low,27
9060,5,East,0,Low,15
9060,5,West,1,Low,19
9075,5,North,3,Low,27
9075,5,South,1,Low,19
9075,5,East,0,Low,15
9075,5,West,2,Low,23
9090,5,North,2,Low,23
9090,5,South,1,Low,19
9090,5,East,0,Low,15
9090,5,West,0,Low,15
9105,5,North,2,Low,23
9105,5,South,1,Low,19
9105,5,East,0,Low,15
9105,5,West,0,Low,15
9120,5,North,4,Medium,31
9120,5,South,0,Low,15
9120,5,East,0,Low,15
9120,5,West,0,Low,15
9135,5,North,2,Low,23
9135,5,South,0,Low,15
9135,5,East,0,Low,15
9135,5,West,0,Low,15
9150,5,North,4,Medium,31
9150,5,South,1,Low,19
9150,5,East,0,Low,15
9150,5,West,0,Low,15
9165,5,North,4,Medium,31
9165,5,South,2,Low,23
9165,5,East,0,Low,15
9165,5,West,1,Low,19
9180,5,North,5,Medium,35
9180,5,South,4,Medium,31
9180,5,East,0,Low,15
9180,5,West,1,Low,19
